impl,threads,size,mix,mean,std,reps
coarse,1,1024,read_heavy,990809,1367,3
coarse,8,1024,read_heavy,414260,5408,3
coarse,32,1024,read_heavy,378273,2174,3
coarse,64,1024,read_heavy,393105,8017,3
coarse,1,1024,write_heavy,994976,638,3
coarse,8,1024,write_heavy,488146,6924,3
coarse,32,1024,write_heavy,411708,7642,3
coarse,64,1024,write_heavy,334585,5864,3
coarse,1,1024,read_snap_short,973006,10276,3
coarse,8,1024,read_snap_short,421203,2074,3
coarse,32,1024,read_snap_short,360993,6698,3
coarse,64,1024,read_snap_short,311490,3926,3
coarse,1,1024,write_snap_long,883248,345,3
coarse,8,1024,write_snap_long,418932,3271,3
coarse,32,1024,write_snap_long,341185,10076,3
coarse,64,1024,write_snap_long,327629,4352,3
coarse,1,16384,read_heavy,62524,47,3
coarse,8,16384,read_heavy,54613,44,3
coarse,32,16384,read_heavy,51111,93,3
coarse,64,16384,read_heavy,48984,484,3
coarse,1,16384,write_heavy,42204,49,3
coarse,8,16384,write_heavy,38519,73,3
coarse,32,16384,write_heavy,34765,68,3
coarse,64,16384,write_heavy,33322,183,3
coarse,1,16384,read_snap_short,56664,26,3
coarse,8,16384,read_snap_short,49572,90,3
coarse,32,16384,read_snap_short,45890,310,3
coarse,64,16384,read_snap_short,44543,406,3
coarse,1,16384,write_snap_long,42374,29,3
coarse,8,16384,write_snap_long,38603,35,3
coarse,32,16384,write_snap_long,34845,321,3
coarse,64,16384,write_snap_long,33757,105,3
mvrlu,1,1024,read_heavy,260245,431,3
mvrlu,8,1024,read_heavy,1997861,26518,3
mvrlu,32,1024,read_heavy,7727187,5076,3
mvrlu,64,1024,read_heavy,14021500,232483,3
mvrlu,1,1024,write_heavy,262012,113,3
mvrlu,8,1024,write_heavy,1592598,19038,3
mvrlu,32,1024,write_heavy,5091083,46694,3
mvrlu,64,1024,write_heavy,7237714,89724,3
mvrlu,1,1024,read_snap_short,257169,702,3
mvrlu,8,1024,read_snap_short,1895471,12757,3
mvrlu,32,1024,read_snap_short,7053507,91059,3
mvrlu,64,1024,read_snap_short,11909611,226484,3
mvrlu,1,1024,write_snap_long,233373,74,3
mvrlu,8,1024,write_snap_long,1565079,9724,3
mvrlu,32,1024,write_snap_long,5173353,45515,3
mvrlu,64,1024,write_snap_long,7905666,63228,3
mvrlu,1,16384,read_heavy,18755,10,3
mvrlu,8,16384,read_heavy,101241,105,3
mvrlu,32,16384,read_heavy,243409,946,3
mvrlu,64,16384,read_heavy,388128,2155,3
mvrlu,1,16384,write_heavy,11486,28,3
mvrlu,8,16384,write_heavy,48437,132,3
mvrlu,32,16384,write_heavy,153638,368,3
mvrlu,64,16384,write_heavy,291485,2723,3
mvrlu,1,16384,read_snap_short,16488,20,3
mvrlu,8,16384,read_snap_short,77135,111,3
mvrlu,32,16384,read_snap_short,192656,232,3
mvrlu,64,16384,read_snap_short,329357,1903,3
mvrlu,1,16384,write_snap_long,12994,9,3
mvrlu,8,16384,write_snap_long,49430,97,3
mvrlu,32,16384,write_snap_long,139580,301,3
mvrlu,64,16384,write_snap_long,258474,3396,3
vcas,1,1024,read_heavy,258596,311,3
vcas,8,1024,read_heavy,1956688,27064,3
vcas,32,1024,read_heavy,7494033,20297,3
vcas,64,1024,read_heavy,13440466,68988,3
vcas,1,1024,write_heavy,232101,98,3
vcas,8,1024,write_heavy,1476175,4329,3
vcas,32,1024,write_heavy,4999108,36494,3
vcas,64,1024,write_heavy,7649148,31379,3
vcas,1,1024,read_snap_short,248727,35,3
vcas,8,1024,read_snap_short,1834224,3152,3
vcas,32,1024,read_snap_short,6748652,95524,3
vcas,64,1024,read_snap_short,11193107,356865,3
vcas,1,1024,write_snap_long,216165,325,3
vcas,8,1024,write_snap_long,1475557,4638,3
vcas,32,1024,write_snap_long,5115793,32543,3
vcas,64,1024,write_snap_long,7900550,9682,3
vcas,1,16384,read_heavy,18262,31,3
vcas,8,16384,read_heavy,104386,356,3
vcas,32,16384,read_heavy,246429,955,3
vcas,64,16384,read_heavy,387888,4401,3
vcas,1,16384,write_heavy,11943,18,3
vcas,8,16384,write_heavy,47561,578,3
vcas,32,16384,write_heavy,153828,3031,3
vcas,64,16384,write_heavy,293480,6772,3
vcas,1,16384,read_snap_short,17844,16,3
vcas,8,16384,read_snap_short,78205,127,3
vcas,32,16384,read_snap_short,192209,857,3
vcas,64,16384,read_snap_short,322778,4764,3
vcas,1,16384,write_snap_long,12792,18,3
vcas,8,16384,write_snap_long,48992,126,3
vcas,32,16384,write_snap_long,139979,453,3
vcas,64,16384,write_snap_long,255707,3367,3
