run,impl,threads,size,mix,mean_ops_per_sec,std_within_run
1,coarse,1,1024,read_heavy,989050,14482
1,coarse,1,1024,read_snap_short,984787,4030
1,coarse,1,1024,write_heavy,990996,1462
1,coarse,1,1024,write_snap_long,879875,1265
1,coarse,1,16384,read_heavy,28123,28
1,coarse,1,16384,read_snap_short,27930,11
1,coarse,1,16384,write_heavy,27943,15
1,coarse,1,16384,write_snap_long,25402,2
1,coarse,2,1024,read_heavy,409667,6701
1,coarse,2,1024,read_snap_short,414505,2056
1,coarse,2,1024,write_heavy,492887,3347
1,coarse,2,1024,write_snap_long,422429,4160
1,coarse,2,16384,read_heavy,26133,77
1,coarse,2,16384,read_snap_short,26020,63
1,coarse,2,16384,write_heavy,25894,12
1,coarse,2,16384,write_snap_long,23703,34
1,coarse,4,1024,read_heavy,420456,5003
1,coarse,4,1024,read_snap_short,433540,4214
1,coarse,4,1024,write_heavy,489552,8642
1,coarse,4,1024,write_snap_long,428779,6698
1,coarse,4,16384,read_heavy,26247,194
1,coarse,4,16384,read_snap_short,26183,46
1,coarse,4,16384,write_heavy,25870,293
1,coarse,4,16384,write_snap_long,23857,18
1,coarse,8,1024,read_heavy,411766,4523
1,coarse,8,1024,read_snap_short,428496,4837
1,coarse,8,1024,write_heavy,484308,4376
1,coarse,8,1024,write_snap_long,421635,2689
1,coarse,8,16384,read_heavy,25940,156
1,coarse,8,16384,read_snap_short,33616,13581
1,coarse,8,16384,write_heavy,25586,141
1,coarse,8,16384,write_snap_long,23441,158
1,coarse,16,1024,read_heavy,413038,1645
1,coarse,16,1024,read_snap_short,423272,4233
1,coarse,16,1024,write_heavy,466659,2719
1,coarse,16,1024,write_snap_long,412748,800
1,coarse,16,16384,read_heavy,22975,204
1,coarse,16,16384,read_snap_short,23257,178
1,coarse,16,16384,write_heavy,22829,151
1,coarse,16,16384,write_snap_long,20338,29
1,coarse,24,1024,read_heavy,405693,2215
1,coarse,24,1024,read_snap_short,411301,3016
1,coarse,24,1024,write_heavy,458645,3597
1,coarse,24,1024,write_snap_long,407454,2760
1,coarse,24,16384,read_heavy,21230,177
1,coarse,24,16384,read_snap_short,20903,269
1,coarse,24,16384,write_heavy,20677,233
1,coarse,24,16384,write_snap_long,18845,47
1,coarse,32,1024,read_heavy,339047,2414
1,coarse,32,1024,read_snap_short,390399,2675
1,coarse,32,1024,write_heavy,431872,3079
1,coarse,32,1024,write_snap_long,384516,3158
1,coarse,32,16384,read_heavy,21732,225
1,coarse,32,16384,read_snap_short,21635,190
1,coarse,32,16384,write_heavy,21264,214
1,coarse,32,16384,write_snap_long,19592,266
1,coarse,48,1024,read_heavy,335669,2384
1,coarse,48,1024,read_snap_short,398791,1997
1,coarse,48,1024,write_heavy,401863,3422
1,coarse,48,1024,write_snap_long,395054,3993
1,coarse,48,16384,read_heavy,30176,16222
1,coarse,48,16384,read_snap_short,21031,103
1,coarse,48,16384,write_heavy,20417,43
1,coarse,48,16384,write_snap_long,18633,64
1,coarse,64,1024,read_heavy,321256,1536
1,coarse,64,1024,read_snap_short,354219,4545
1,coarse,64,1024,write_heavy,357267,2737
1,coarse,64,1024,write_snap_long,360066,1065
1,coarse,64,16384,read_heavy,21135,193
1,coarse,64,16384,read_snap_short,20993,18
1,coarse,64,16384,write_heavy,20954,192
1,coarse,64,16384,write_snap_long,21976,6816
1,mvrlu,1,1024,read_heavy,257875,206
1,mvrlu,1,1024,read_snap_short,256284,331
1,mvrlu,1,1024,write_heavy,261117,191
1,mvrlu,1,1024,write_snap_long,232923,408
1,mvrlu,1,16384,read_heavy,4955,100
1,mvrlu,1,16384,read_snap_short,5129,193
1,mvrlu,1,16384,write_heavy,4830,41
1,mvrlu,1,16384,write_snap_long,4071,16
1,mvrlu,2,1024,read_heavy,517615,3111
1,mvrlu,2,1024,read_snap_short,495343,805
1,mvrlu,2,1024,write_heavy,469273,1628
1,mvrlu,2,1024,write_snap_long,434119,1718
1,mvrlu,2,16384,read_heavy,14002,7570
1,mvrlu,2,16384,read_snap_short,10174,88
1,mvrlu,2,16384,write_heavy,9460,9
1,mvrlu,2,16384,write_snap_long,8076,7
1,mvrlu,4,1024,read_heavy,981456,81394
1,mvrlu,4,1024,read_snap_short,989393,1369
1,mvrlu,4,1024,write_heavy,907181,3143
1,mvrlu,4,1024,write_snap_long,855304,4672
1,mvrlu,4,16384,read_heavy,19772,55
1,mvrlu,4,16384,read_snap_short,19955,349
1,mvrlu,4,16384,write_heavy,18658,17
1,mvrlu,4,16384,write_snap_long,16277,14
1,mvrlu,8,1024,read_heavy,2011959,5693
1,mvrlu,8,1024,read_snap_short,1898245,6648
1,mvrlu,8,1024,write_heavy,1587125,11327
1,mvrlu,8,1024,write_snap_long,1566083,4476
1,mvrlu,8,16384,read_heavy,40267,155
1,mvrlu,8,16384,read_snap_short,39296,47
1,mvrlu,8,16384,write_heavy,37219,150
1,mvrlu,8,16384,write_snap_long,33089,8
1,mvrlu,16,1024,read_heavy,3881894,116914
1,mvrlu,16,1024,read_snap_short,3608615,49436
1,mvrlu,16,1024,write_heavy,2900871,28526
1,mvrlu,16,1024,write_snap_long,2830831,55898
1,mvrlu,16,16384,read_heavy,79307,498
1,mvrlu,16,16384,read_snap_short,77074,271
1,mvrlu,16,16384,write_heavy,72979,175
1,mvrlu,16,16384,write_snap_long,63819,55
1,mvrlu,24,1024,read_heavy,5770930,38657
1,mvrlu,24,1024,read_snap_short,5306204,27980
1,mvrlu,24,1024,write_heavy,4005997,28963
1,mvrlu,24,1024,write_snap_long,4042971,61726
1,mvrlu,24,16384,read_heavy,116665,431
1,mvrlu,24,16384,read_snap_short,112226,242
1,mvrlu,24,16384,write_heavy,107385,156
1,mvrlu,24,16384,write_snap_long,105304,21220
1,mvrlu,32,1024,read_heavy,7169101,8223
1,mvrlu,32,1024,read_snap_short,6939556,57286
1,mvrlu,32,1024,write_heavy,5034953,86742
1,mvrlu,32,1024,write_snap_long,5259725,68245
1,mvrlu,32,16384,read_heavy,156664,630
1,mvrlu,32,16384,read_snap_short,149595,375
1,mvrlu,32,16384,write_heavy,143657,174
1,mvrlu,32,16384,write_snap_long,124181,235
1,mvrlu,48,1024,read_heavy,9727435,42045
1,mvrlu,48,1024,read_snap_short,10204144,59244
1,mvrlu,48,1024,write_heavy,7367508,141836
1,mvrlu,48,1024,write_snap_long,7472631,47050
1,mvrlu,48,16384,read_heavy,231915,564
