run,impl,threads,size,mix,mean_ops_per_sec
1,mvrlu-tree,1,1024,read_heavy,7193035
1,mvrlu-tree,1,1024,read_snap_short,3594440
1,mvrlu-tree,1,1024,write_heavy,5574948
1,mvrlu-tree,1,1024,write_snap_long,705662
1,mvrlu-tree,1,16384,read_heavy,2710944
1,mvrlu-tree,1,16384,read_snap_short,1168994
1,mvrlu-tree,1,16384,write_heavy,2383625
1,mvrlu-tree,1,16384,write_snap_long,10503
1,mvrlu-tree,2,1024,read_heavy,11207876
1,mvrlu-tree,2,1024,read_snap_short,5648269
1,mvrlu-tree,2,1024,write_heavy,5559524
1,mvrlu-tree,2,1024,write_snap_long,1107994
1,mvrlu-tree,2,16384,read_heavy,5244732
1,mvrlu-tree,2,16384,read_snap_short,2264743
1,mvrlu-tree,2,16384,write_heavy,3990885
1,mvrlu-tree,2,16384,write_snap_long,20541
1,mvrlu-tree,4,1024,read_heavy,21204666
1,mvrlu-tree,4,1024,read_snap_short,10325594
1,mvrlu-tree,4,1024,write_heavy,7762062
1,mvrlu-tree,4,1024,write_snap_long,1994716
1,mvrlu-tree,4,16384,read_heavy,10340632
1,mvrlu-tree,4,16384,read_snap_short,4493879
1,mvrlu-tree,4,16384,write_heavy,7499731
1,mvrlu-tree,4,16384,write_snap_long,43342
1,mvrlu-tree,8,1024,read_heavy,36815824
1,mvrlu-tree,8,1024,read_snap_short,14961528
1,mvrlu-tree,8,1024,write_heavy,11791978
1,mvrlu-tree,8,1024,write_snap_long,3155334
1,mvrlu-tree,8,16384,read_heavy,17641283
1,mvrlu-tree,8,16384,read_snap_short,8613349
1,mvrlu-tree,8,16384,write_heavy,9518524
1,mvrlu-tree,8,16384,write_snap_long,83717
1,mvrlu-tree,16,1024,read_heavy,56423801
1,mvrlu-tree,16,1024,read_snap_short,24880351
1,mvrlu-tree,16,1024,write_heavy,15235501
1,mvrlu-tree,16,1024,write_snap_long,5245246
1,mvrlu-tree,16,16384,read_heavy,32367108
1,mvrlu-tree,16,16384,read_snap_short,16524266
1,mvrlu-tree,16,16384,write_heavy,12777429
1,mvrlu-tree,16,16384,write_snap_long,165569
1,mvrlu-tree,24,1024,read_heavy,60322026
1,mvrlu-tree,24,1024,read_snap_short,36869032
1,mvrlu-tree,24,1024,write_heavy,25761001
1,mvrlu-tree,24,1024,write_snap_long,7245171
1,mvrlu-tree,24,16384,read_heavy,37873797
1,mvrlu-tree,24,16384,read_snap_short,25240333
1,mvrlu-tree,24,16384,write_heavy,19696339
1,mvrlu-tree,24,16384,write_snap_long,245350
1,mvrlu-tree,32,1024,read_heavy,92353870
1,mvrlu-tree,32,1024,read_snap_short,48223395
1,mvrlu-tree,32,1024,write_heavy,23951250
1,mvrlu-tree,32,1024,write_snap_long,7986255
1,mvrlu-tree,32,16384,read_heavy,63833147
1,mvrlu-tree,32,16384,read_snap_short,31495487
1,mvrlu-tree,32,16384,write_heavy,25302273
1,mvrlu-tree,32,16384,write_snap_long,307412
1,mvrlu-tree,48,1024,read_heavy,147039898
1,mvrlu-tree,48,1024,read_snap_short,58627928
1,mvrlu-tree,48,1024,write_heavy,38020065
1,mvrlu-tree,48,1024,write_snap_long,8643365
1,mvrlu-tree,48,16384,read_heavy,107882811
1,mvrlu-tree,48,16384,read_snap_short,44952117
1,mvrlu-tree,48,16384,write_heavy,32782323
1,mvrlu-tree,48,16384,write_snap_long,429699
1,mvrlu-tree,64,1024,read_heavy,133474911
1,mvrlu-tree,64,1024,read_snap_short,50832717
1,mvrlu-tree,64,1024,write_heavy,20616781
1,mvrlu-tree,64,1024,write_snap_long,9695493
1,mvrlu-tree,64,16384,read_heavy,120783830
1,mvrlu-tree,64,16384,read_snap_short,35908736
1,mvrlu-tree,64,16384,write_heavy,21448641
1,mvrlu-tree,64,16384,write_snap_long,587450
1,vcas-tree,1,1024,read_heavy,6816965
1,vcas-tree,1,1024,read_snap_short,3028390
1,vcas-tree,1,1024,write_heavy,5229090
1,vcas-tree,1,1024,write_snap_long,551869
1,vcas-tree,1,16384,read_heavy,2408478
1,vcas-tree,1,16384,read_snap_short,1221443
1,vcas-tree,1,16384,write_heavy,2057289
1,vcas-tree,1,16384,write_snap_long,11019
1,vcas-tree,2,1024,read_heavy,10712768
1,vcas-tree,2,1024,read_snap_short,4975988
1,vcas-tree,2,1024,write_heavy,6129502
1,vcas-tree,2,1024,write_snap_long,895673
1,vcas-tree,2,16384,read_heavy,4830832
1,vcas-tree,2,16384,read_snap_short,2334215
1,vcas-tree,2,16384,write_heavy,3834680
1,vcas-tree,2,16384,write_snap_long,20252
1,vcas-tree,4,1024,read_heavy,20409663
1,vcas-tree,4,1024,read_snap_short,9014575
1,vcas-tree,4,1024,write_heavy,10119716
1,vcas-tree,4,1024,write_snap_long,1602503
1,vcas-tree,4,16384,read_heavy,9641597
1,vcas-tree,4,16384,read_snap_short,4471694
1,vcas-tree,4,16384,write_heavy,7287331
1,vcas-tree,4,16384,write_snap_long,43425
1,vcas-tree,8,1024,read_heavy,31612275
1,vcas-tree,8,1024,read_snap_short,13856932
1,vcas-tree,8,1024,write_heavy,15583593
1,vcas-tree,8,1024,write_snap_long,2522473
1,vcas-tree,8,16384,read_heavy,17874601
1,vcas-tree,8,16384,read_snap_short,7940590
1,vcas-tree,8,16384,write_heavy,12294500
1,vcas-tree,8,16384,write_snap_long,84822
1,vcas-tree,16,1024,read_heavy,63248583
1,vcas-tree,16,1024,read_snap_short,23947505
1,vcas-tree,16,1024,write_heavy,25879618
1,vcas-tree,16,1024,write_snap_long,4063937
1,vcas-tree,16,16384,read_heavy,36157234
1,vcas-tree,16,16384,read_snap_short,15284789
1,vcas-tree,16,16384,write_heavy,22831964
1,vcas-tree,16,16384,write_snap_long,169272
1,vcas-tree,24,1024,read_heavy,94878120
1,vcas-tree,24,1024,read_snap_short,25245958
1,vcas-tree,24,1024,write_heavy,40218762
1,vcas-tree,24,1024,write_snap_long,5741403
1,vcas-tree,24,16384,read_heavy,55290805
1,vcas-tree,24,16384,read_snap_short,20421866
1,vcas-tree,24,16384,write_heavy,34339028
1,vcas-tree,24,16384,write_snap_long,251197
1,vcas-tree,32,1024,read_heavy,122954737
1,vcas-tree,32,1024,read_snap_short,34637574
1,vcas-tree,32,1024,write_heavy,44676370
1,vcas-tree,32,1024,write_snap_long,6826022
1,vcas-tree,32,16384,read_heavy,71855156
1,vcas-tree,32,16384,read_snap_short,27270263
1,vcas-tree,32,16384,write_heavy,44447620
1,vcas-tree,32,16384,write_snap_long,313064
1,vcas-tree,48,1024,read_heavy,171594358
1,vcas-tree,48,1024,read_snap_short,38812640
1,vcas-tree,48,1024,write_heavy,61424878
1,vcas-tree,48,1024,write_snap_long,8758357
1,vcas-tree,48,16384,read_heavy,106154023
1,vcas-tree,48,16384,read_snap_short,41812408
1,vcas-tree,48,16384,write_heavy,59504857
1,vcas-tree,48,16384,write_snap_long,429347
1,vcas-tree,64,1024,read_heavy,184112224
1,vcas-tree,64,1024,read_snap_short,30203939
1,vcas-tree,64,1024,write_heavy,51809910
1,vcas-tree,64,1024,write_snap_long,9649768
1,vcas-tree,64,16384,read_heavy,118432908
1,vcas-tree,64,16384,read_snap_short,29986137
1,vcas-tree,64,16384,write_heavy,64441698
1,vcas-tree,64,16384,write_snap_long,591573
2,mvrlu-tree,1,1024,read_heavy,7190302
2,mvrlu-tree,1,1024,read_snap_short,3611765
2,mvrlu-tree,1,1024,write_heavy,5572947
2,mvrlu-tree,1,1024,write_snap_long,708199
2,mvrlu-tree,1,16384,read_heavy,2663888
2,mvrlu-tree,1,16384,read_snap_short,1290464
2,mvrlu-tree,1,16384,write_heavy,2343824
2,mvrlu-tree,1,16384,write_snap_long,11822
2,mvrlu-tree,2,1024,read_heavy,11083310
2,mvrlu-tree,2,1024,read_snap_short,5659225
2,mvrlu-tree,2,1024,write_heavy,5569237
2,mvrlu-tree,2,1024,write_snap_long,1108271
2,mvrlu-tree,2,16384,read_heavy,5168788
2,mvrlu-tree,2,16384,read_snap_short,2478606
2,mvrlu-tree,2,16384,write_heavy,4070856
2,mvrlu-tree,2,16384,write_snap_long,22567
2,mvrlu-tree,4,1024,read_heavy,20976404
2,mvrlu-tree,4,1024,read_snap_short,10626167
2,mvrlu-tree,4,1024,write_heavy,8969058
2,mvrlu-tree,4,1024,write_snap_long,1979995
2,mvrlu-tree,4,16384,read_heavy,10261724
2,mvrlu-tree,4,16384,read_snap_short,4926613
2,mvrlu-tree,4,16384,write_heavy,6711131
2,mvrlu-tree,4,16384,write_snap_long,46907
2,mvrlu-tree,8,1024,read_heavy,34477569
2,mvrlu-tree,8,1024,read_snap_short,16626000
2,mvrlu-tree,8,1024,write_heavy,11335004
2,mvrlu-tree,8,1024,write_snap_long,3062357
2,mvrlu-tree,8,16384,read_heavy,18299107
2,mvrlu-tree,8,16384,read_snap_short,8730219
2,mvrlu-tree,8,16384,write_heavy,9203398
2,mvrlu-tree,8,16384,write_snap_long,91821
2,mvrlu-tree,16,1024,read_heavy,54680961
2,mvrlu-tree,16,1024,read_snap_short,25027622
2,mvrlu-tree,16,1024,write_heavy,16530506
2,mvrlu-tree,16,1024,write_snap_long,5117600
2,mvrlu-tree,16,16384,read_heavy,34117317
2,mvrlu-tree,16,16384,read_snap_short,17258139
2,mvrlu-tree,16,16384,write_heavy,16124832
2,mvrlu-tree,16,16384,write_snap_long,179686
2,mvrlu-tree,24,1024,read_heavy,72881167
2,mvrlu-tree,24,1024,read_snap_short,37669301
2,mvrlu-tree,24,1024,write_heavy,24169660
2,mvrlu-tree,24,1024,write_snap_long,6892831
2,mvrlu-tree,24,16384,read_heavy,42227126
2,mvrlu-tree,24,16384,read_snap_short,24316596
2,mvrlu-tree,24,16384,write_heavy,17700108
2,mvrlu-tree,24,16384,write_snap_long,267958
2,mvrlu-tree,32,1024,read_heavy,87006360
2,mvrlu-tree,32,1024,read_snap_short,45457632
2,mvrlu-tree,32,1024,write_heavy,30601426
2,mvrlu-tree,32,1024,write_snap_long,7107103
2,mvrlu-tree,32,16384,read_heavy,53048373
2,mvrlu-tree,32,16384,read_snap_short,28648189
2,mvrlu-tree,32,16384,write_heavy,20859461
2,mvrlu-tree,32,16384,write_snap_long,333693
2,mvrlu-tree,48,1024,read_heavy,130904475
2,mvrlu-tree,48,1024,read_snap_short,57398571
2,mvrlu-tree,48,1024,write_heavy,24496048
2,mvrlu-tree,48,1024,write_snap_long,9216178
2,mvrlu-tree,48,16384,read_heavy,75772156
2,mvrlu-tree,48,16384,read_snap_short,41913345
2,mvrlu-tree,48,16384,write_heavy,33245651
2,mvrlu-tree,48,16384,write_snap_long,459515
2,mvrlu-tree,64,1024,read_heavy,115404427
2,mvrlu-tree,64,1024,read_snap_short,44813987
2,mvrlu-tree,64,1024,write_heavy,25980004
2,mvrlu-tree,64,1024,write_snap_long,10086271
2,mvrlu-tree,64,16384,read_heavy,102035176
2,mvrlu-tree,64,16384,read_snap_short,45566164
2,mvrlu-tree,64,16384,write_heavy,27745347
2,mvrlu-tree,64,16384,write_snap_long,633858
2,vcas-tree,1,1024,read_heavy,6727592
2,vcas-tree,1,1024,read_snap_short,2928756
2,vcas-tree,1,1024,write_heavy,5182401
2,vcas-tree,1,1024,write_snap_long,564075
2,vcas-tree,1,16384,read_heavy,2416327
2,vcas-tree,1,16384,read_snap_short,1157232
2,vcas-tree,1,16384,write_heavy,2072195
2,vcas-tree,1,16384,write_snap_long,10739
2,vcas-tree,2,1024,read_heavy,10888607
2,vcas-tree,2,1024,read_snap_short,5034161
2,vcas-tree,2,1024,write_heavy,6055325
2,vcas-tree,2,1024,write_snap_long,909133
2,vcas-tree,2,16384,read_heavy,4956861
2,vcas-tree,2,16384,read_snap_short,2255921
2,vcas-tree,2,16384,write_heavy,3895979
2,vcas-tree,2,16384,write_snap_long,21356
2,vcas-tree,4,1024,read_heavy,20788605
2,vcas-tree,4,1024,read_snap_short,9314180
2,vcas-tree,4,1024,write_heavy,10155543
2,vcas-tree,4,1024,write_snap_long,1636606
2,vcas-tree,4,16384,read_heavy,9574263
2,vcas-tree,4,16384,read_snap_short,4562260
2,vcas-tree,4,16384,write_heavy,7362146
2,vcas-tree,4,16384,write_snap_long,43401
2,vcas-tree,8,1024,read_heavy,35200061
2,vcas-tree,8,1024,read_snap_short,14345680
2,vcas-tree,8,1024,write_heavy,14153030
2,vcas-tree,8,1024,write_snap_long,2562351
2,vcas-tree,8,16384,read_heavy,18880604
2,vcas-tree,8,16384,read_snap_short,7841231
2,vcas-tree,8,16384,write_heavy,11855332
2,vcas-tree,8,16384,write_snap_long,84412
2,vcas-tree,16,1024,read_heavy,64771030
2,vcas-tree,16,1024,read_snap_short,24630555
2,vcas-tree,16,1024,write_heavy,26116168
2,vcas-tree,16,1024,write_snap_long,4119793
2,vcas-tree,16,16384,read_heavy,36271898
2,vcas-tree,16,16384,read_snap_short,17108196
2,vcas-tree,16,16384,write_heavy,23151959
2,vcas-tree,16,16384,write_snap_long,169169
2,vcas-tree,24,1024,read_heavy,90884839
2,vcas-tree,24,1024,read_snap_short,32052444
